word_id	en_hw	page	seq_on_page	enwk_part_of_speech	tt_param1	seq_in_param1	keep
DIB0009342	flexibility	flexibility	1	Noun	quality of being flexible	1	y
DIB0010861	already	already	1	Adverb	prior to some time	1	y
DIB0012611	station	station	1	Noun	place where a vehicle may stop	1	y
DIB0027914	drip	drip	1	Verb	to fall one drop at a time	1	y
DIB0031280	knife	knife	1	Noun	utensil or tool designed for cutting	1	y
DIB0033126	gorgeous	gorgeous	1	Adjective	very beautiful	1	y
DIB0044054	confused	confused	1	Adjective	unable to think clearly or understand	1	y
DIB0050307	journalist	journalist	1	Noun	one whose occupation or profession is journalism	1	y
DIB0051095	shirt	shirt	1	Noun	article of clothing	1	y
DIB0051406	relative	relative	3	Noun	someone connected by blood, marriage, or adoption; someone in the same family	1	y
DIB0052780	sticky	sticky	1	Adjective	able or likely to stick	1	y
DIB0063115	birth	birth	2	Noun	instance of childbirth	1	y
DIB0071195	next	next	3	Adjective	nearest date, time, space or order	1	y
DIB0075192	chicken	chicken	2	Noun	meat	1	y
DIB0076017	can	can	5	Noun	a tin-plate canister	1	y
DIB0081293	apprentice	apprentice	1	Noun	trainee, especially in a skilled trade	1	y
DIB0090028	expect	expect	2	Verb	to consider obligatory	1	y
DIB0093130	strawberry	strawberry	1	Noun	accessory fruit	1	y
DIB0094964	yourself	yourself	1	Pronoun	(reflexive) your own self	1	yp
DIB0095927	unmask	unmask	2	Verb	to expose the true character of someone	1	y
DIB0096546	hurt	hurt	1	Verb	to be painful, to ache	1	y
DIB0108566	hike	hike	5	Verb	to take a long walk for pleasure or exercise	1	y
DIB0108742	boxer shorts	boxer shorts	1	Noun	underwear	1	y
DIB0114304	withdraw	withdraw	1	Verb	to draw or pull (something) aside, away, or back from its original position or situation	1	y
DIB0116480	candy	candy	1	Noun	piece of candy	1	y
DIB0117487	wife	wife	1	Noun	female partner in a marriage	1	y
DIB0123916	musicology	musicology	1	Noun	study of music	1	y
DIB0127084	wish	wish	1	Noun	desire	1	yp
DIB0130831	take	take/translations	18	Verb	to use as transportation	1	y
DIB0134186	purple	purple	1	Noun	colour	1	y
DIB0138260	watermelon	watermelon	2	Noun	fruit	1	y
DIB0143212	raise	raise	7	Verb	to bring up, to grow	1	yp
DIB0144594	cream	cream	4	Noun	product to apply to the skin	1	y
DIB0144995	say	say	1	Verb	to say, to tell	1	y
DIB0148714	you	you/translations	4	Pronoun	subject pronoun: the person being addressed	1	y
DIB0157449	resemble	resemble	1	Verb	to be like or similar to something else	1	y
DIB0161430	meeting	meeting	3	Noun	gathering for a purpose	1	y
DIB0161430	meeting	meeting	5	Noun	encounter between people	1	y
DIB0163398	disabled	disabled	2	Adjective	having a disability	1	y
DIB0171823	child	child	1	Noun	son or daughter; someone's child	1	y
DIB0171823	child	child	2	Noun	a minor	1	y
DIB0174827	tenth	tenth	1	Adjective	ordinal form of ten	1	y
DIB0177124	building	building	2	Noun	closed structure with walls and a roof	1	y
DIB0180164	mandatory	mandatory	1	Adjective	obligatory	1	y
DIB0181507	interested	interested	1	Adjective	having or showing interest	1	yp
DIB0181719	break in	break in	1	Verb	to enter by force or illicitly	1	y
DIB0182360	engineering	engineering	1	Noun	application of science to the needs of humanity	1	y
DIB0183325	inflation	inflation	2	Noun	increase in the quantity of money, leading to a devaluation of existing money and increase in the general nominal level of prices or in the cost of living	1	y
DIB0193945	eve	eve	1	Noun	day or night before	1	yp
DIB0196766	convenience store	convenience store	1	Noun	a small retail store	1	y
DIB0199224	Saturday	Saturday	1	Noun	day of the week	1	y
DIB0199988	tense	tense	2	Adjective	showing stress or strain	1	y
DIB0208650	she	she	1	Pronoun	person	1	y
DIB0210522	any more	any more	1	Adverb	in negative or interrogative constructions	1	y
