lang	lang_desc	denom	num	pct100str	pct100
de	German	2204	2142	97.2	97.1869328493648
fi	Finnish	2204	2127	96.5	96.50635208711434
fr	French	2204	2078	94.3	94.28312159709618
ru	Russian	2204	2073	94.1	94.05626134301271
es	Spanish	2204	2071	94.0	93.96551724137932
pt	Portuguese	2204	2055	93.2	93.23956442831216
pl	Polish	2204	1993	90.4	90.42649727767694
sv	Swedish	2204	1957	88.8	88.79310344827586
it	Italian	2204	1952	88.6	88.56624319419238
nl	Dutch	2204	1944	88.2	88.2032667876588
hu	Hungarian	2204	1938	87.9	87.93103448275862
cmn	Mandarin	2204	1904	86.4	86.38838475499092
bg	Bulgarian	2204	1862	84.5	84.48275862068965
ja	Japanese	2204	1853	84.1	84.07441016333938
cs	Czech	2204	1833	83.2	83.16696914700545
ca	Catalan	2204	1781	80.8	80.8076225045372
uk	Ukrainian	2204	1744	79.1	79.12885662431943
eo	Esperanto	2204	1718	77.9	77.9491833030853
el	Greek	2204	1713	77.7	77.72232304900182
ro	Romanian	2204	1707	77.5	77.45009074410163
ar	Arabic	2204	1706	77.4	77.40471869328493
da	Danish	2204	1684	76.4	76.40653357531761
tr	Turkish	2204	1674	76.0	75.95281306715063
ko	Korean	2204	1666	75.6	75.58983666061707
hy	Armenian	2204	1561	70.8	70.82577132486388
be	Belarusian	2204	1517	68.8	68.82940108892922
he	Hebrew	2204	1517	68.8	68.82940108892922
la	Latin	2204	1515	68.7	68.73865698729583
vi	Vietnamese	2204	1508	68.4	68.42105263157895
mk	Macedonian	2204	1505	68.3	68.28493647912886
ga	Irish	2204	1496	67.9	67.87658802177859
sk	Slovak	2204	1492	67.7	67.69509981851179
ka	Georgian	2204	1467	66.6	66.56079854809437
hi	Hindi	2204	1457	66.1	66.1070780399274
gl	Galician	2204	1436	65.2	65.15426497277677
th	Thai	2204	1420	64.4	64.42831215970962
is	Icelandic	2204	1406	63.8	63.793103448275865
sl	Slovene	2204	1401	63.6	63.566243194192374
az	Azerbaijani	2204	1345	61.0	61.02540834845735
lv	Latvian	2204	1339	60.8	60.75317604355717
nb	Bokmål	2204	1336	60.6	60.617059891107075
et	Estonian	2204	1331	60.4	60.39019963702359
cy	Welsh	2204	1279	58.0	58.03085299455535
id	Indonesian	2204	1260	57.2	57.168784029038115
lt	Lithuanian	2204	1247	56.6	56.578947368421055
mi	Māori	2204	1241	56.3	56.30671506352087
km	Khmer	2204	1207	54.8	54.76406533575317
gd	Scottish Gaelic	2204	1200	54.4	54.4464609800363
sq	Albanian	2204	1196	54.3	54.26497277676951
ms	Malay	2204	1187	53.9	53.85662431941924
ur	Urdu	2204	1139	51.7	51.67876588021779
yi	Yiddish	2204	1109	50.3	50.31760435571688
tl	Tagalog	2204	1107	50.2	50.22686025408348
kk	Kazakh	2204	1088	49.4	49.364791288566245
lo	Lao	2204	1043	47.3	47.32304900181488
my	Burmese	2204	1035	47.0	46.960072595281304
uz	Uzbek	2204	1035	47.0	46.960072595281304
tg	Tajik	2204	1018	46.2	46.188747731397456
ky	Kyrgyz	2204	1002	45.5	45.46279491833031
io	Ido	2204	999	45.3	45.32667876588022
yue	Cantonese	2204	973	44.1	44.1470054446461
af	Afrikaans	2204	962	43.6	43.64791288566243
nn	Nynorsk	2204	960	43.6	43.55716878402904
bn	Bengali	2204	954	43.3	43.28493647912886
sw	Swahili	2204	940	42.6	42.6497277676951
oc	Occitan	2204	939	42.6	42.6043557168784
fo	Faroese	2204	881	40.0	39.972776769509984
ast	Asturian	2204	869	39.4	39.42831215970962
ta	Tamil	2204	865	39.2	39.24682395644283
tk	Turkmen	2204	865	39.2	39.24682395644283
eu	Basque	2204	851	38.6	38.61161524500908
ang	Old English	2204	839	38.1	38.06715063520871
te	Telugu	2204	836	37.9	37.93103448275862
kmr	Northern Kurdish	2204	833	37.8	37.79491833030853
mt	Maltese	2204	812	36.8	36.8421052631579
ug	Uyghur	2204	793	36.0	35.98003629764065
vo	Volapük	2204	754	34.2	34.21052631578947
